#architect_id	architectJa	architectEn	architectJa_cleaned	architectEn_cleaned
2467	中川巌 建築綜合研究所	IWAO NAKAGAWA Architect & Associates	中川巌 建築綜合研究所	IWAO NAKAGAWA ARCHITECT & ASSOCIATES
2470	I.C.D.建築設計事務所	Institute of Creative Design	I.C.D.建築設計事務所	INSTITUTE OF CREATIVE DESIGN
2472	坂倉建築研究所大阪事務所	SAKAKURA Associates Architects and Engineers	坂倉建築研究所大阪事務所	SAKAKURA ASSOCIATES ARCHITECTS AND ENGINEERS
2473	坂倉建築研究所大阪事務所	SAKAKURA Associates Architects and Engineers	坂倉建築研究所大阪事務所	SAKAKURA ASSOCIATES ARCHITECTS AND ENGINEERS
2475	ルードヴィッヒ・ミース・ファン・デル・ローエ	Ludwig Mies van der Rohe	ルードヴィッヒ・ミース・ファン・デル・ローエ	LUDWIG MIES VAN DER ROHE
2476	日建設計・東京|野村加根夫設計事務所	NIKKEN SEKKEI Planners/Architects/Engineers | KANEO NOMURA Architect & Associates	日建設計|野村加根夫設計事務所	NIKKEN SEKKEI PLANNERS/ARCHITECTS/ENGINEERS | KANEO NOMURA ARCHITECT & ASSOCIATES
2477	木村博昭／Ks Architects	KIMURA HIROAKI/Ks Architects	木村博昭／KS ARCHITECTS	KIMURA HIROAKI/KS ARCHITECTS
2478	スタジオ建築計画	KENCHIKU DESIGN STUDIO,TOKYO	スタジオ建築計画	KENCHIKU DESIGN STUDIO,TOKYO
2480	R.D.アーキテクツ|坂屋リョク|伊原秀美	R.D.Architects| RYOKU ITAYA | HIDEMI IHARA	R.D.アーキテクツ|坂屋リョク|伊原秀美	R.D.ARCHITECTS| RYOKU ITAYA | HIDEMI IHARA
2481	アモルフ	AMORPHE Architects & Associates	アモルフ	AMORPHE ARCHITECTS & ASSOCIATES
2483	真喜志好 新キャンパス設計室	KOICHI MAKISHI	真喜志好 新キャンパス設計室	KOICHI MAKISHI
2484	小林美夫|日本総合建築事務所|アトリエ・K	YOSHIO KOBAYASHI|NIPPON SOGO Architects & Engineers | ATELIER. K Architects & Associates	小林美夫|日本総合建築事務所|アトリエ・K	YOSHIO KOBAYASHI|NIPPON SOGO ARCHITECTS & ENGINEERS | ATELIER. K ARCHITECTS & ASSOCIATES
2485	仙田満・環境デザイン研究所	MAN SENDA + ENVIRONMENT DESIGN INSTITUTE	仙田満・環境デザイン研究所	MAN SENDA + ENVIRONMENT DESIGN INSTITUTE
2489	小林和行|K3建築研究所	K. KOBAYASHI|K3 Institute	小林和行|K3建築研究所	K. KOBAYASHI|K3 INSTITUTE
2490	堀尾佳弘建築研究所	YOSHIHIRO HORIO ARCHITECTURAL INSTITUTE	堀尾佳弘建築研究所	YOSHIHIRO HORIO ARCHITECTURAL INSTITUTE
2502	彦坂裕 スペースインキュベータ|上山良子	YUTAKA HIKOSAKA| RYOKO UE YAMA	彦坂裕 スペースインキュベータ|上山良子	YUTAKA HIKOSAKA| RYOKO UE YAMA
2503	アーキテクトファイブ|竹中工務店	Architect 5 PERTNERS |TAKENAKA KOMUTEN CO. LTD	アーキテクトファイブ|竹中工務店	ARCHITECT 5 PERTNERS |TAKENAKA KOMUTEN CO. LTD
2504	カザテック|マリオ・ベリーニ	CASATEC|MARIO BELLINI Associate	カザテック|マリオ・ベリーニ	CASATEC|MARIO BELLINI ASSOCIATE
2507	本間利雄設計事務所 地域環境計画研究室	TOSHIO HOMMA & Associates	本間利雄設計事務所 地域環境計画研究室	TOSHIO HOMMA & ASSOCIATES
2509	茂木建築設計事務所	MOGI Associates	茂木建築設計事務所	MOGI ASSOCIATES
2514	北村陸夫＋ズーム計画工房	RIKUO KITAMURA+ZOOM Architect & Associates	北村陸夫＋ズーム計画工房	RIKUO KITAMURA+ZOOM ARCHITECT & ASSOCIATES
2516	建築計画事務所和敬＋歌一洋	WAKEI + ICHYO UTA	建築計画事務所和敬＋歌一洋	WAKEI + ICHYO UTA
2525	アデーレ・ナウデ・サントス＋エス・ディー・シー	Adéle Naudé Santos Architects	アデーレ・ナウデ・サントス＋エス・ディー・シー	ADÉLE NAUDÉ SANTOS ARCHITECTS
2526	フジタ工業	FUJITA CORPORATION	フジタ	FUJITA CORPORATION
2530	レンゾ・ピアノ	RENZO PIANO-Paris	レンゾ・ピアノ	RENZO PIANO-PARIS
2532	樫永一男建築研究所	KAZUO KASHINAGA ARCHITECT & ASSOCIATES	樫永一男建築研究所	KAZUO KASHINAGA ARCHITECT & ASSOCIATES
2533	貴志雅樹 環境企画室	MASAKI-KISHI Architects & Environment Planners Office	貴志雅樹 環境企画室	MASAKI-KISHI ARCHITECTS & ENVIRONMENT PLANNERS OFFICE
2537	デイーシービー	dcb	デイーシービー	DCB
2538	中川巌・建築綜合研究所	I.NAKAGAWA Architects & Associates	中川巌・建築綜合研究所	I.NAKAGAWA ARCHITECTS & ASSOCIATES
2539	東高ハウス|竹中工務店	TOUKO HAUS| TAKENAKA CORPORATION	東高ハウス|竹中工務店	TOUKO HAUS| TAKENAKA CORPORATION
2543	石本建築事務所	ISHIMOTO Architectural & Engineering	石本建築事務所	ISHIMOTO ARCHITECTURAL & ENGINEERING
2545	竹山聖＋アモルフ	KIYOSHI SEY TAKEYAMA I AMORPHE Architects & Associates	竹山聖＋アモルフ	KIYOSHI SEY TAKEYAMA I AMORPHE ARCHITECTS & ASSOCIATES
2547	KMG建築事務所	KMG Architects & Engineers	KMG建築事務所	KMG ARCHITECTS & ENGINEERS
2549	アトリエ前田譲デザインルーム|アトリエGEN	Atelier MAEDA YUZURU Design Room | Atelier GEN	アトリエ前田譲デザインルーム|アトリエGEN	ATELIER MAEDA YUZURU DESIGN ROOM | ATELIER GEN
2550	保科孝之建築設計事務所	TAKAYUKI HOSHINA Architect & Associates	保科孝之建築設計事務所	TAKAYUKI HOSHINA ARCHITECT & ASSOCIATES
2560	原広司 アトリエ・ファイ建築研究所	HIROSHI HARA+Atelier φ	原広司＋アトリエ・ファイ建築研究所	HIROSHI HARA+ATELIER Φ
2562	原広司 アトリエ・ファイ建築研究所|飯田市設計事務所	HIROSHI HARA+Atelier φ| IIDA Architects Associates	原広司＋アトリエ・ファイ建築研究所|飯田市設計事務所	HIROSHI HARA+ATELIER Φ| IIDA ARCHITECTS ASSOCIATES
2564	TAK建築・都市計画研究所	TAK Associated Architects INC.	TAK建築・都市計画研究所	TAK ASSOCIATED ARCHITECTS INC.
2566	横田良一|グッドスピンアーキテクト・井澤久	RYOICHI YOKOTA | Good Spin Architect HISASHI IZAWA	横田良一|グッドスピンアーキテクト・井澤久	RYOICHI YOKOTA | GOOD SPIN ARCHITECT HISASHI IZAWA
2567	三菱地所|三島設計事務所	MITSUBISHI ESTATE | MISHIMA Architect & Associates	三菱地所|三島設計事務所	MITSUBISHI ESTATE | MISHIMA ARCHITECT & ASSOCIATES
2568	鹿島建設建築設計本部|MIDI綜合設計研究所	KAJIMA CORPORATION Architectural Design Division | MIDI Architects	鹿島建設|MIDI綜合設計研究所	KAJIMA CORPORATION ARCHITECTURAL DESIGN DIVISION | MIDI ARCHITECTS
2570	佐藤総合計画	AXS SATOW	佐藤総合計画	AXS SATOW
2572	進来廉|戸田建設	REN SUZUKI|TODA CORPORATION	進来廉|戸田建設	REN SUZUKI|TODA CORPORATION
2577	木島安史	YASUFUMI KIJIMA+YAS & URBANISTS/KEIKAKU	木島安史	YASUFUMI KIJIMA+YAS & URBANISTS/KEIKAKU
2578	石井和紘建築研究所	KAZUHIRO ISHII Architect & Associates	石井和紘建築研究所	KAZUHIRO ISHII ARCHITECT & ASSOCIATES
2583	三沢浩研究室|アトリエ・アイ|群建築研究所|松本陽一設計事務所|アーバン・ソフト	H. MISAWA| T. ISHIKAWA| A. OGATA| Y. MATSUMOTO | K. KODAKA	三沢浩研究室|アトリエ・アイ|群建築研究所|松本陽一設計事務所|アーバン・ソフト	H. MISAWA| T. ISHIKAWA| A. OGATA| Y. MATSUMOTO | K. KODAKA
2591	小川晋一アトリエ	SHINICHI OGAWA ATELIER/ARCHITECTS	小川晋一アトリエ	SHINICHI OGAWA ATELIER/ARCHITECTS
2592	谷川勲建築研究所	ISAO TANIGAWA Architect & Associates	谷川勲建築研究所	ISAO TANIGAWA ARCHITECT & ASSOCIATES
2593	松野八郎綜合建築設計事務所・東京事務所	HACHIRO MATSUNO Architect&Associates	松野八郎綜合建築設計事務所・東京事務所	HACHIRO MATSUNO ARCHITECT&ASSOCIATES
2594	丹下健三＋都市・建築設計研究所／丹下憲孝|中川巌 建築綜合研究所	Kenzo Tange Associates|IWAO NAKAGAWA Architect & Associates	丹下健三＋都市・建築設計研究所／丹下憲孝|中川巌 建築綜合研究所	KENZO TANGE ASSOCIATES|IWAO NAKAGAWA ARCHITECT & ASSOCIATES
2595	片方信也	Shinya Katakata	片方信也	SHINYA KATAKATA
2596	大建設計	DAIKEN Architects & Engineers	大建設計	DAIKEN ARCHITECTS & ENGINEERS
2597	仙田満＋環境デザイン研究所	MITSURU SENDA+E.D.I	仙田満＋環境デザイン研究所	MITSURU SENDA+E.D.I
2603	広島市都市整備局|黒川紀章建築都市設計事務所	Building Maintenance Section I and the Equipment Section of the Hiroshima City Bureau of Urban Development, Architecture Division|KISHO KUROKAWA Architect & Associates	広島市都市整備局|黒川紀章建築都市設計事務所	BUILDING MAINTENANCE SECTION I AND THE EQUIPMENT SECTION OF THE HIROSHIMA CITY BUREAU OF URBAN DEVELOPMENT, ARCHITECTURE DIVISION|KISHO KUROKAWA ARCHITECT & ASSOCIATES
2606	杉重彦	SHIMOAKIMA COUNTRY CLUB	杉重彦	SHIMOAKIMA COUNTRY CLUB
2608	石本建築事務所|日本設計|内藤設計監理共同企業体	ISHIMOTO Architectural&Engineering |NIHON Architects Engineers&Consultants|Naito Sekkei & Associates	石本建築事務所|日本設計|内藤設計監理共同企業体	ISHIMOTO ARCHITECTURAL&ENGINEERING |NIHON ARCHITECTS ENGINEERS&CONSULTANTS|NAITO SEKKEI & ASSOCIATES
2610	大阪府建築部営繕室|小河建築設計事務所	Department of Construction, The OSAKA Prefectural Goverment |OGAWA Architects & Engineers	大阪府建築部営繕室|小河建築設計事務所	DEPARTMENT OF CONSTRUCTION, THE OSAKA PREFECTURAL GOVERMENT |OGAWA ARCHITECTS & ENGINEERS
2613	建築環境計画TAO	TAO Architects	建築環境計画TAO	TAO ARCHITECTS
2615	丹下健三＋都市・建築設計研究所	KENZO TANGE ASSOCIATES Urbanists-Architects	丹下健三＋都市・建築設計研究所	KENZO TANGE ASSOCIATES URBANISTS-ARCHITECTS
2620	創造社 畠中建築設計共同設計団	Joint Venture of SOZOSHA and HATANAKA	創造社 畠中建築設計共同設計団	JOINT VENTURE OF SOZOSHA AND HATANAKA
2628	池原義郎・建築設計工房	YOSHIRO IKEHARA KENCHIKU SEKKEI KOBO	池原義郎・建築設計工房	YOSHIRO IKEHARA KENCHIKU SEKKEI KOBO
2631	日本総合建築事務所名古屋支所	Nippon Sogo Architects and Engineers	日本総合建築事務所名古屋支所	NIPPON SOGO ARCHITECTS AND ENGINEERS
2633	隈研吾|CAD計画研究所	KENGO KUMA | CAD Institute for Planning	隈研吾|CAD計画研究所	KENGO KUMA | CAD INSTITUTE FOR PLANNING
2635	早稲田大学石山研究室	OSAMU ISHIYAMA Laboratory, Waseda University	早稲田大学石山研究室	OSAMU ISHIYAMA LABORATORY, WASEDA UNIVERSITY
2637	毛綱毅曠建築事務所|日建設計|北海道日建設計	KIKO MOZUNA Architects & Associates  | NIKKEN SEKKEI |HOKKAIDO NIKKEN SEKKEI	毛綱毅曠建築事務所|日建設計|北海道日建設計	KIKO MOZUNA ARCHITECTS & ASSOCIATES  | NIKKEN SEKKEI |HOKKAIDO NIKKEN SEKKEI
2650	ル・コルビュジエ	Le Corbusier	ル・コルビュジエ	LE CORBUSIER
2653	栗生総合計画事務所	A.KURYU ARCHITECT & ASSOCIATES	栗生総合計画事務所	A.KURYU ARCHITECT & ASSOCIATES
2656	フィリップ・スタルク	PHILIPPE STARCK	フィリップ・スタルク	PHILIPPE STARCK
2657	アルド・ロッシ	ALDO ROSSI	アルド・ロッシ	ALDO ROSSI
2658	平野智司計画工房	SATOSHI HIRANO	平野智司計画工房	SATOSHI HIRANO
2663	岸和郎建築設計事務所	WARO KISHI．Arrchitect	岸和郎建築設計事務所	WARO KISHI.ARRCHITECT
2665	フランク・ロイド・ライト	FRANK LLOYD WRIGHT	フランク・ロイド・ライト	FRANK LLOYD WRIGHT
2666	エイ・エス・エヌ	ASN CO.,LTD.	エイ・エス・エヌ	ASN CO.,LTD.
2667	東京アーチスト	TOKYO ARTIST Society	東京アーチスト	TOKYO ARTIST SOCIETY
2671	大林組本店設計部	OBAYASHI CORPORATION ARCHITECTURAL DESIGN DEPARTMENT, OSAKA MAIN OFFICE	大林組本店設計部	OBAYASHI CORPORATION ARCHITECTURAL DESIGN DEPARTMENT, OSAKA MAIN OFFICE
2677	大谷研究室|国建|設計共同企業体	OTANI KENKYUSHITSU|KUNIKEN| Design J.V.	大谷研究室|国建|設計共同企業体	OTANI KENKYUSHITSU|KUNIKEN| DESIGN J.V.
2681	早稲田大学石山修武研究室	OSAMU ISHIYAMA LAB. DEPARTMENT OF ARCHITECTURE WASEDA UNIVERSITY	早稲田大学石山修武研究室	OSAMU ISHIYAMA LAB. DEPARTMENT OF ARCHITECTURE WASEDA UNIVERSITY
2683	針生承一建築研究所	SHOICHI HARYU ARCHITECT & ASSOCIATES	針生承一建築研究所	SHOICHI HARYU ARCHITECT & ASSOCIATES
2684	野沢正光建築工房	Nozawa Masamitsu Kenchikukoubou	野沢正光建築工房	NOZAWA MASAMITSU KENCHIKUKOUBOU
2685	小川守之建築・設計事務所	M.OGAWA Architects	小川守之建築・設計事務所	M.OGAWA ARCHITECTS
2686	白井晟一研究所・白井昱磨|鹿島建設建築設計本部	Sei'ichi Shirai Architecture Laboratory-Ikuma Shirai |KAJIMA Corporation	白井晟一研究所・白井昱磨|鹿島建設	SEI'ICHI SHIRAI ARCHITECTURE LABORATORY-IKUMA SHIRAI |KAJIMA CORPORATION
2687	プランテック	PLANTEC	プランテック	PLANTEC
2689	TAC建築設計事務所	TAC Architect & Associates	TAC建築設計事務所	TAC ARCHITECT & ASSOCIATES
2691	篠原聡子|隈研吾	Satoko Shinohara|Kengo Kuma	篠原聡子|隈研吾	SATOKO SHINOHARA|KENGO KUMA
2692	上田徹	TORU UEDA/GUEN Associates	上田徹	TORU UEDA/GUEN ASSOCIATES
2693	難波和彦	KAZUHIKO NAMBA+KAI WORKSHOP	難波和彦	KAZUHIKO NAMBA+KAI WORKSHOP
2694	古市徹雄	TETSUO FURUICHI & ASSOCIATES	古市徹雄	TETSUO FURUICHI & ASSOCIATES
2698	デントン・コーカー・マーシャル|芦原太郎建築事務所	DENTON CORKER MARSHALL Pty.,Ltd. | ASHIHARA INTERNATIONAL Architect & Associates	デントン・コーカー・マーシャル|芦原太郎建築事務所	DENTON CORKER MARSHALL PTY.,LTD. | ASHIHARA INTERNATIONAL ARCHITECT & ASSOCIATES
2703	村山建築設計事務所	MURAYAMA ARCHITECT & ASSOCIATES	村山建築設計事務所	MURAYAMA ARCHITECT & ASSOCIATES
2704	A&T建築研究所	A&T ASSOCIATES	A＆T建築研究所	A&T ASSOCIATES
2705	堀池秀人	HIDETO HORIIKE & URTOPIA	堀池秀人 都市・建築研究所	HIDETO HORIIKE & URTOPIA
2706	オーギュスト・ペレ	AUGUSTE PERRET	オーギュスト・ペレ	AUGUSTE PERRET
2711	高田弘|計画技術	HIROSHI TAKADA|PRODUCE & DESIGN TECHNOLOGY	高田弘|計画技術	HIROSHI TAKADA|PRODUCE & DESIGN TECHNOLOGY
2713	山崎泰孝＋AZ環境計画研究所|北居設計	YASUTAKA YAMAZAKI+AZ INSTITUTE| KITAI ARCHITET & ASSOCIATES	山崎泰孝＋ＡＺ環境計画研究所|北居設計	YASUTAKA YAMAZAKI+AZ INSTITUTE| KITAI ARCHITET & ASSOCIATES
2715	水野一郎|田中光|金沢計画研究所	I.MIZUNO |H.TANAKA |KANAZAWA Planning Research	水野一郎|田中光|金沢計画研究所	I.MIZUNO |H.TANAKA |KANAZAWA PLANNING RESEARCH
2717	伊藤邦明都市・建築研究所	KUNIAKI ITO & Associates	伊藤邦明都市・建築研究所	KUNIAKI ITO & ASSOCIATES
2719	NTT都市開発	NTT Urban Development	NTT都市開発	NTT URBAN DEVELOPMENT
2724	フィリップ・スタルク|野沢誠＋GETT	PHILIPPE STARCK|MAKOTO NOZAWA+GETT	フィリップ・スタルク|野沢誠＋GETT	PHILIPPE STARCK|MAKOTO NOZAWA+GETT
2725	木村博昭／Ks Architects	KIMURA HIROAKI / Ks Architects	木村博昭／KS ARCHITECTS	KIMURA HIROAKI / KS ARCHITECTS
2727	清水建設|ケヴィン・ローチ|ジョン・ディンケルー・アンド・アソシエイツ・アーキテクツ	SHIMIZU Architects and Engineers|KEVIN ROCHE |JOHN DINKELDO and Associates Architects 	清水建設|ケヴィン・ローチ|ジョン・ディンケルー・アンド・アソシエイツ・アーキテクツ	SHIMIZU ARCHITECTS AND ENGINEERS|KEVIN ROCHE |JOHN DINKELDO AND ASSOCIATES ARCHITECTS 
2728	坂倉建築研究所大阪事務所|アトリエサワ|設計共同企業体	SAKAKURA Associates and Engieers|Atelier SAWA|JV	坂倉建築研究所大阪事務所|アトリエサワ|設計共同企業体	SAKAKURA ASSOCIATES AND ENGIEERS|ATELIER SAWA|JV
2729	伊丹市建設部建築課|坂倉建築研究所大阪事務所	ITAMI City|SAKAKURA Associates Architects and Engineers	伊丹市建設部建築課|坂倉建築研究所大阪事務所	ITAMI CITY|SAKAKURA ASSOCIATES ARCHITECTS AND ENGINEERS
2731	DIT図書館基本設計プロジェクトチーム|日本設計	DIT LIBRARY Design Team|NIHON Architects Engineering & Consultants	DIT図書館基本設計プロジェクトチーム|日本設計	DIT LIBRARY DESIGN TEAM|NIHON ARCHITECTS ENGINEERING & CONSULTANTS
2736	日本空港コンサルタンツ|長島建築研究所	Japan Airport Consults|NAGASHIMA Architects	日本空港コンサルタンツ|長島建築研究所	JAPAN AIRPORT CONSULTS|NAGASHIMA ARCHITECTS
2739	田邊博司|レーモンド設計事務所	HIROSHI TANABE R.A.|RAYMOND Architectural Design Office	田邊博司|レーモンド設計事務所	HIROSHI TANABE R.A.|RAYMOND ARCHITECTURAL DESIGN OFFICE
2740	横内敏人|前川建築設計事務所	TOSHIHITO YOKOUCHI|MAYEKAWA Associates and Engineers	横内敏人|前川建築設計事務所	TOSHIHITO YOKOUCHI|MAYEKAWA ASSOCIATES AND ENGINEERS
2741	住宅都市整備公団|匠建築研究所	THE HOUSING AND URBAN DEVELOPMENT CORPORATION |TAKUMI Architects CO., Ltd.	住宅・都市整備公団|匠建築研究所	THE HOUSING AND URBAN DEVELOPMENT CORPORATION |TAKUMI ARCHITECTS CO., LTD.
2743	アトリエ新保哲也	ATELIER TETSUYA SHIMPO	アトリエ新保哲也	ATELIER TETSUYA SHIMPO
2746	堀池秀人＋都市・建築研究所	HIDETO HORIIKE & URTOPIA	堀池秀人 都市・建築研究所	HIDETO HORIIKE & URTOPIA
2748	UPM 八束はじめ建築計画室	HAJIME YATSUKA/UPM	UPM 八束はじめ建築計画室	HAJIME YATSUKA/UPM
2752	梓設計	AZUSA SEKKEI	梓設計	AZUSA SEKKEI
2753	芦原太郎建築事務所	TARO ASHIHARA ARCHITECTS	芦原太郎建築事務所	TARO ASHIHARA ARCHITECTS
2756	原広司＋アトリエ・ファイ建築研究所	HIROSHI HARA ＋ ATELIER Φ	原広司＋アトリエ・ファイ建築研究所	HIROSHI HARA + ATELIER Φ
2765	小宮山昭＋ユニテ設計・計画	AKIRA KOMIYAMA / UNITES ARCHITECTS AND PLANNERS	小宮山昭＋ユニテ設計・計画	AKIRA KOMIYAMA / UNITES ARCHITECTS AND PLANNERS
2770	磯崎新アトリエ|J.S.ポルシェック アンド パートナーズ	ARATA ISOZAKI ＆ Associates|JAMES STEWART POLSHEK and Partners	磯崎新アトリエ|J.S.ポルシェック アンド パートナーズ	ARATA ISOZAKI & ASSOCIATES|JAMES STEWART POLSHEK AND PARTNERS
2771	新日本製鐵建築部	NIPPON STEEL Corporation	新日本製鐵建築部	NIPPON STEEL CORPORATION
2772	一色建築設計事務所	ISSIKI Architects & Partners	一色建築設計事務所	ISSIKI ARCHITECTS & PARTNERS
2774	栗原嘉一郎|増沢建築設計事務所	KAICHIRO KURIHARA|MASUZAWA Architect & Associates	栗原嘉一郎|増沢建築設計事務所	KAICHIRO KURIHARA|MASUZAWA ARCHITECT & ASSOCIATES
2786	篠原一男アトリエ	KAZUO SHINOHARA Atelier	篠原一男アトリエ	KAZUO SHINOHARA ATELIER
2795	川崎清|佐藤不二男|大林組本店	KIYOSHI KAWASAKI|FUJIO SATO|OHBAYASHI Corporation	川崎清|佐藤不二男|大林組本店	KIYOSHI KAWASAKI|FUJIO SATO|OHBAYASHI CORPORATION
2796	大阪市都市整備局|日建設計	OSAKA MUNICIPAL GOVERNMENT, URBAN REDEVELOPMENT & HOUSING BUREAV |NIKKEN SEKKEI Planners Architects & Engineers	大阪市都市整備局|日建設計	OSAKA MUNICIPAL GOVERNMENT, URBAN REDEVELOPMENT & HOUSING BUREAV |NIKKEN SEKKEI PLANNERS ARCHITECTS & ENGINEERS
2798	建設省近畿地方建設局営繕部|東畑建築事務所	KINKI REGIONAL CONSTRUCTION BUREAUS. GOVERNMENT BUILDING DEPARTMENT |K. TOHATA & ASSOCIATES, ARCHITECTS	建設省近畿地方建設局営繕部|東畑建築事務所	KINKI REGIONAL CONSTRUCTION BUREAUS. GOVERNMENT BUILDING DEPARTMENT |K. TOHATA & ASSOCIATES, ARCHITECTS
2801	ザハ・ハディド	Zaha Hadid Architects	ザハ・ハディド	ZAHA HADID ARCHITECTS
2813	幕張テクノガーデン設計共同企業体|清水建設|新日本製鐵|日本電信電話	MAKUHARI TECHNO GARDEN Project Design Studio|SHIMIZU Corporation|NIPPON STEEL Corporation|NIPPON TELEPHON TELEGRAM Corporation	幕張テクノガーデン設計共同企業体|清水建設|新日本製鐵|日本電信電話	MAKUHARI TECHNO GARDEN PROJECT DESIGN STUDIO|SHIMIZU CORPORATION|NIPPON STEEL CORPORATION|NIPPON TELEPHON TELEGRAM CORPORATION
2814	YBP設計室|野村不動産|大林組|マリオ・ベリーニ	YBP Design Room|NOMURA Real Estate Development|OBAYASHI Corporation|MARIO BELLINI	YBP設計室|野村不動産|大林組|マリオ・ベリーニ	YBP DESIGN ROOM|NOMURA REAL ESTATE DEVELOPMENT|OBAYASHI CORPORATION|MARIO BELLINI
2818	小林克弘|杉本洋文	KATSUHIRO KOBAYASHI | HIROFUMI SUGIMOTO	小林克弘|杉本洋文	KATSUHIRO KOBAYASHI | HIROFUMI SUGIMOTO
2819	林雅子＋林＋山田＋中原設計同人	MASAKO HAYASHI	林雅子／林・山田・中原設計同人	MASAKO HAYASHI
2822	渡辺誠／アーキテクツ オフィス	MAKOTO WATANABE/Architects' Office	渡辺誠／アーキテクツ オフィス	MAKOTO WATANABE/ARCHITECTS' OFFICE
2825	日本設計	NIHON SEKKEI	日本設計	NIHON SEKKEI
2826	野沢誠＋GETT	MAKOTO NOZAWA+GETT	野沢誠＋GETT	MAKOTO NOZAWA+GETT
2829	戸尾任宏＋建築研究所アーキヴィジョン	TADAHIRO TOH+ARCHIVISION architect & associates	戸尾任宏＋建築研究所アーキヴィジョン	TADAHIRO TOH+ARCHIVISION ARCHITECT & ASSOCIATES
2833	ジュゼッペ・テラーニ|カサ・デル・ファッショ	Giuseppe terrani | casa del fascio	ジュゼッペ・テラーニ|カサ・デル・ファッショ	GIUSEPPE TERRANI | CASA DEL FASCIO
2837	内井昭蔵建築設計事務所	S UCIHI Architect & Associates	内井昭蔵建築設計事務所	S UCIHI ARCHITECT & ASSOCIATES
2838	磯崎新アトリエ	ARATA ISOZAKI & Associates	磯崎新アトリエ	ARATA ISOZAKI & ASSOCIATES
2839	大林組東京本社|観光企画設計社	OHBAYASHI Corporation|KANKO KIKAKU SEKKEISHA	大林組東京本社|観光企画設計社	OHBAYASHI CORPORATION|KANKO KIKAKU SEKKEISHA
2840	福沢健次	KENJI FUKUZAWA/UNITES Architects and Planners	福沢健次	KENJI FUKUZAWA/UNITES ARCHITECTS AND PLANNERS
2841	長島孝一＋AUR	Koichi Nagashima+AUR	長島孝一＋AUR	KOICHI NAGASHIMA+AUR
2842	西野建築研究所 ZENPLAN	ZENPLAN Associates Architect & Engineers	西野建築研究所 ZENPLAN	ZENPLAN ASSOCIATES ARCHITECT & ENGINEERS
2843	フェイズアソシエイツ	PHASE Associates	フェイズアソシエイツ	PHASE ASSOCIATES
2844	板井宝一郎＋セクションRアーキテクツ	HOICHIRO ITAI+SECTION R ARCHITECTS	板井宝一郎＋セクションRアーキテクツ	HOICHIRO ITAI+SECTION R ARCHITECTS
2845	磯崎新	Arata isozaki	磯崎新	ARATA ISOZAKI
2846	浦辺設計|松村慶三	URABESEKKEI |KEIZO MATSUBARA	浦辺設計|松村慶三	URABESEKKEI |KEIZO MATSUBARA
2849	アトリエK	ATELIER K Architect & Associates	アトリエK	ATELIER K ARCHITECT & ASSOCIATES
2851	S・セラフィモ|S・クラヴェッツ|M・フエルガー	S. serafimo | s. kravets | m. fuerger	S・セラフィモ|S・クラヴェッツ|M・フエルガー	S. SERAFIMO | S. KRAVETS | M. FUERGER
2862	松田平田坂本設計事務所|清水建設	MATSUDA,HIRATA&SAKAMOTO ARCHITECTS PLANNERS&ENGINEERS |SHMIZU Corporation	松田平田坂本設計事務所|清水建設	MATSUDA,HIRATA&SAKAMOTO ARCHITECTS PLANNERS&ENGINEERS |SHMIZU CORPORATION
2864	黒川紀章建築都市設計事務所|沖縄県建築設計監理協同組合共同企業体	KISHO KUROKAWA Architects & Associates | Architectural Design Control Corporation of OKINAWA PREFECTURE	黒川紀章建築都市設計事務所|沖縄県建築設計監理協同組合共同企業体	KISHO KUROKAWA ARCHITECTS & ASSOCIATES | ARCHITECTURAL DESIGN CONTROL CORPORATION OF OKINAWA PREFECTURE
2865	ワルター・グロピウス|アドルフ・マイヤー	Walter gropius | adolf meyer	ワルター・グロピウス|アドルフ・マイヤー	WALTER GROPIUS | ADOLF MEYER
2866	デビット・チッパーフィールド・アーキテクツ	DAVID CHIPPERFIELD ARCHITECTES	デビット・チッパーフィールド・アーキテクツ	DAVID CHIPPERFIELD ARCHITECTES
2867	金子満|ザハ・ハディッド|松井雅美	MITSURU KANEKO/DAN SEKKEI Associates Architects|ZAHA HADID|MASAMI MATSUI/AXE	金子満|ザハ・ハディッド|松井雅美	MITSURU KANEKO/DAN SEKKEI ASSOCIATES ARCHITECTS|ZAHA HADID|MASAMI MATSUI/AXE
2868	ケンブリッジ・セブン・アソシエイツ|環境開発研究所	CAMBRIDGE SEVEN ASSOCIATES| ENVIRONMENTAL DEVELOPMENT RESEARCH	ケンブリッジ・セブン・アソシエイツ|環境開発研究所	CAMBRIDGE SEVEN ASSOCIATES| ENVIRONMENTAL DEVELOPMENT RESEARCH
2869	北山孝二郎|ピーター・アイゼンマン	 KOJIRO KITAYAMA|PETER EISENMAN	北山孝二郎|ピーター・アイゼンマン	 KOJIRO KITAYAMA|PETER EISENMAN
2871	香山アトリエ／環境造形研究所|冨所設計	KOHYAMA Atelier|tomiken	香山アトリエ／環境造形研究所|冨所設計	KOHYAMA ATELIER|TOMIKEN
2875	アフラ＆トビア・スカルパ	AFRA & TOBIA SCARPA	アフラ＆トビア・スカルパ	AFRA & TOBIA SCARPA
